index,link,title,artist,rating,has_audio,has_video,date,uploader,total_downloads
11066,patches.php?mode=show&unit=G3&ID=11066,kizuna music,Poppin' Party,,False,True,2019-02-02,GreenHerb,93
11037,patches.php?mode=show&unit=G3&ID=11037,koko1,Aikatsu Friends!,,False,True,2019-01-07,GreenHerb,140
11038,patches.php?mode=show&unit=G3&ID=11038,koko2,Aikatsu Friends!,,False,True,2019-01-07,GreenHerb,75
11025,patches.php?mode=show&unit=G3&ID=11025,Dream Load,Aikatsu Stars!,,False,True,2018-12-31,GreenHerb,132
11001,patches.php?mode=show&unit=G3&ID=11001,100 All In One patces,various,,False,False,2018-12-29,OneDime,444
11002,patches.php?mode=show&unit=G3&ID=11002,100 Various & Originals patches,various,,False,False,2018-12-29,OneDime,302
11003,patches.php?mode=show&unit=G3&ID=11003,100 Presets 2015 patches,various,,False,False,2018-12-29,OneDime,236
11004,patches.php?mode=show&unit=G3&ID=11004,huzisawa(R.Gt),ASIAN KUNG-FU GENERATION,,False,True,2018-12-29,GreenHerb,119
11005,patches.php?mode=show&unit=G3&ID=11005,huzisawa(L.Gt),ASIAN KUNG-FU GENERATION,,False,True,2018-12-29,GreenHerb,109
10983,patches.php?mode=show&unit=G3&ID=10983,12,ASIAN KUNG-FU GENERATION,,False,True,2018-12-16,GreenHerb,136
10981,patches.php?mode=show&unit=G3&ID=10981,«Money for Nothing»,Mark Freuder Knopfler Dire Straits,,False,True,2018-12-14,boxvictor,271
10976,patches.php?mode=show&unit=G3&ID=10976,Winter1,ELLEGARDEN,,False,True,2018-12-09,GreenHerb,162
10977,patches.php?mode=show&unit=G3&ID=10977,Winter2,ELLEGARDEN,,False,True,2018-12-09,GreenHerb,153
10975,patches.php?mode=show&unit=G3&ID=10975,a patch for singing with only your guiter,nobody,,False,False,2018-12-08,koshikawase,222
10974,patches.php?mode=show&unit=G3&ID=10974,48 Legends patches,various,,False,False,2018-12-07,OneDime,572
10971,patches.php?mode=show&unit=G3&ID=10971,100 disto patches,none,,False,False,2018-12-05,OneDime,236
10972,patches.php?mode=show&unit=G3&ID=10972,100 Strange sounding patches,none,,False,False,2018-12-05,OneDime,234
10967,patches.php?mode=show&unit=G3&ID=10967,23 patches (Direct Recording Guitar),various,,False,False,2018-12-01,OneDime,368
10963,patches.php?mode=show&unit=G3&ID=10963,Whisle1,Carlo60,,False,False,2018-11-29,Carlo60,135
10938,patches.php?mode=show&unit=G3&ID=10938,House of the Rising Sun,Geordie etc.,,False,True,2018-11-13,boxvictor,337
10916,patches.php?mode=show&unit=G3&ID=10916,Modern Metal / Djent,-,,False,False,2018-10-02,purnadika,424
10884,patches.php?mode=show&unit=G3&ID=10884,Brown sound,EVH,1.0,False,True,2018-09-04,J.D.S.,365
10870,patches.php?mode=show&unit=G3&ID=10870,PinkR,Pink Floyd,5.0,False,True,2018-08-21,J.D.S.,676
10871,patches.php?mode=show&unit=G3&ID=10871,PinkS,Pink Floyd,4.0,False,True,2018-08-21,J.D.S.,438
10872,patches.php?mode=show&unit=G3&ID=10872,Bass,J.D.S.,,False,True,2018-08-21,J.D.S.,278
10849,patches.php?mode=show&unit=G3&ID=10849,T.S.O.8.L,Krail Anuar,5.0,False,False,2018-08-07,NU - OFF,322
10850,patches.php?mode=show&unit=G3&ID=10850,T.S.O.8.L,Krail Anuar,3.5,False,False,2018-08-07,666,258
10822,patches.php?mode=show&unit=G3&ID=10822,KRAiL ANUAR 666,T.S.O.8.L ( Krail Anuar ),2.7,False,False,2018-07-06,Krail Anuar,336
10774,patches.php?mode=show&unit=G3&ID=10774,apache,the shadows,2.0,False,False,2018-06-11,jeffrey ball,614
10775,patches.php?mode=show&unit=G3&ID=10775,we will rock you,brian may,3.0,False,False,2018-06-11,jeffrey ball,804
10776,patches.php?mode=show&unit=G3&ID=10776,jean genie,mick ronson,,False,False,2018-06-11,jeffrey ball,280
10777,patches.php?mode=show&unit=G3&ID=10777,clean roland 120 amp,80s,2.0,False,False,2018-06-11,jeffrey ball,639
10778,patches.php?mode=show&unit=G3&ID=10778,soldano,rock 70s,,False,False,2018-06-11,jeffrey ball,422
10779,patches.php?mode=show&unit=G3&ID=10779,get it on,marc bolan   t.rex,1.0,False,False,2018-06-11,jeffrey ball,264
10720,patches.php?mode=show&unit=G3&ID=10720,JDSBass,Jozef Stiavnicky,,False,True,2018-05-07,JDS,549
10693,patches.php?mode=show&unit=G3&ID=10693,Symphony of Destruction,Megadeth Dave Mustaine,3.7,True,False,2018-04-15,sykaTHEoNe Mari...,867
10678,patches.php?mode=show&unit=G3&ID=10678,Zoom G5N Slash Sweet Child o Mine,Slash,1.0,False,False,2018-04-07,Andrew Miles,793
10667,patches.php?mode=show&unit=G3&ID=10667,Perfect Strangers,Ritchie Blackmore,3.5,False,True,2018-04-03,boxvictor,738
10661,patches.php?mode=show&unit=G3&ID=10661,Tornado of Souls,Megadeth-Dave Mustaine,4.5,True,True,2018-03-30,sykaTHEoNe Mari...,877
10640,patches.php?mode=show&unit=G3&ID=10640,Zoom G3 & G5 patches converted for Zoom G3x,Zoom & Zoom Famous Artists,5.0,False,False,2018-03-23,Görkem,1339
10629,patches.php?mode=show&unit=G3&ID=10629,TheWall,David GILMOUR,5.0,True,False,2018-03-20,Bruno Heurtin,933
10630,patches.php?mode=show&unit=G3&ID=10630,The Wall (good file),David Gilmour,5.0,True,False,2018-03-20,Bruno HEURTIN,977
10622,patches.php?mode=show&unit=G3&ID=10622,Rust in Peace Album Tone,Megadeth,3.0,False,False,2018-03-17,sykaTHEoNe Mari...,544
10623,patches.php?mode=show&unit=G3&ID=10623,Chris,RudeRecords - Ageless Minds,4.0,False,False,2018-03-17,Chris,452
10580,patches.php?mode=show&unit=G3&ID=10580,Talking Cry  (Shark's Throat) Sound,ZOOM G3X best sounds,5.0,False,True,2018-02-22,boxvictor,823
10567,patches.php?mode=show&unit=G3&ID=10567,Megadeth - Lucretia Dave Mustaine Guitar Tone,Megadeth,3.0,True,True,2018-02-12,"""sykaTHEoNe"" Ma...",787
10568,patches.php?mode=show&unit=G3&ID=10568,AhChoirBG,Carlo Natali,,True,False,2018-02-12,Carlo Natali,473
10536,patches.php?mode=show&unit=G3&ID=10536,Metalcore \ All-round,Various,4.0,False,False,2018-01-28,napp,780
10532,patches.php?mode=show&unit=G3&ID=10532,the distinctive sound of Brian's 70`-80`,Brian May,4.0,False,True,2018-01-26,boxvictor,1285
10520,patches.php?mode=show&unit=G3&ID=10520,Holy Wars... The Punishment Due Guitar Tone,Megadeth,4.5,True,False,2018-01-22,sykaTHEoNe Mari...,847
10517,patches.php?mode=show&unit=G3&ID=10517,Holy Wars Dave Mustaine Tone Version 2,Megadeth,5.0,True,False,2018-01-20,sykaTHEoNe Mari...,594
10518,patches.php?mode=show&unit=G3&ID=10518,Holy Wars Dave Mustaine Tone Version 2 (FIXED),Megadeth,4.0,True,False,2018-01-20,sykaTHEoNe Mari...,645
10510,patches.php?mode=show&unit=G3&ID=10510,Hangar 18 Marty Friedman Tone,Megadeth,5.0,True,False,2018-01-18,sykaTHEoNe Mari...,781
10508,patches.php?mode=show&unit=G3&ID=10508,Holy Wars... The Punishment Due Dave Mustaine Guit,Megadeth,5.0,False,False,2018-01-17,"""sykaTHEoNe"" Ma...",460
10509,patches.php?mode=show&unit=G3&ID=10509,Holy Wars... The Punishment Due Dave Mustaine Tone,Megadeth,5.0,True,False,2018-01-17,sykaTHEoNe Mari...,581
10490,patches.php?mode=show&unit=G3&ID=10490,Quo Crunch,60-80` Marshall sounds,5.0,False,True,2018-01-09,boxvictor,846
10491,patches.php?mode=show&unit=G3&ID=10491,Ms Crunch 70`,60-80` Marshall sounds,3.5,False,True,2018-01-09,boxvictor,693
10492,patches.php?mode=show&unit=G3&ID=10492,Quo Crunch,60-80` Marshall sounds,3.5,False,True,2018-01-09,boxvictor,508
10430,patches.php?mode=show&unit=G3&ID=10430,G3X USER AREA ver DE? 2017,ZOOM G3X World musicians and the best sounds,3.0,False,True,2017-12-25,boxvictor,1069
10428,patches.php?mode=show&unit=G3&ID=10428,Run Like Hell,Pink Floyd,2.0,False,False,2017-12-23,Fabio Floyd,766
10418,patches.php?mode=show&unit=G3&ID=10418,Zoom G3x - CLEAR TREMOLO + OVERDRIVE,luigi cantelmo,1.5,False,True,2017-12-15,luigi cantelmo,789
10419,patches.php?mode=show&unit=G3&ID=10419,Zoom G3x - CLEAR TREMOLO + OVERDRIVE,luigi cantelmo,1.0,False,True,2017-12-15,luigi cantelmo,609
10403,patches.php?mode=show&unit=G3&ID=10403,G3X USER AREA ver NOV 2017,World musicians and the best sounds,5.0,False,False,2017-12-05,boxvictor,1062
10350,patches.php?mode=show&unit=G3&ID=10350,Zoom G3x - Crunch Guitar Patch,luigi cantelmo,4.5,False,True,2017-11-03,luigi cantelmo,1301
10346,patches.php?mode=show&unit=G3&ID=10346,Theme for Young Lovers,Shadows,5.0,False,False,2017-11-02,Pit,937
10327,patches.php?mode=show&unit=G3&ID=10327,A Rite of Passage,Dream Theater,2.0,True,False,2017-10-24,Renylo M,1041
10323,patches.php?mode=show&unit=G3&ID=10323,LeadCN24/FunkySolo1,Carlo Natali,,True,False,2017-10-22,Carlo60,716
10324,patches.php?mode=show&unit=G3&ID=10324,SynthBASS1/Birdland,Weather Report,4.0,True,False,2017-10-22,Carlo60,670
10325,patches.php?mode=show&unit=G3&ID=10325,AcouORG5/Yesterday,The Beatles,4.0,True,False,2017-10-22,Carlo60,767
10252,patches.php?mode=show&unit=G3&ID=10252,Walk of life ORGAN sound,Dire Straits,3.0,True,False,2017-09-25,Carlo60,913
10245,patches.php?mode=show&unit=G3&ID=10245,BagPipe/Cornamusa,Scottish/Celtic instrument,4.0,False,False,2017-09-21,Carlo60,639
10237,patches.php?mode=show&unit=G3&ID=10237,AcORG1/Hurt,Johnny Cash,3.0,True,False,2017-09-14,Carlo60,917
10231,patches.php?mode=show&unit=G3&ID=10231,Hammond2/A whiter shade of pale,Procolarum,4.0,True,False,2017-09-13,Carlo60,794
10232,patches.php?mode=show&unit=G3&ID=10232,80 LEAD SOUND,EUROPE,4.6,False,True,2017-09-13,Riccardo Sergio,1818
10233,patches.php?mode=show&unit=G3&ID=10233,Manhattan Clean,Eric Johnson,4.5,False,True,2017-09-13,Riccardo Sergio,1487
10234,patches.php?mode=show&unit=G3&ID=10234,Manhattan Lead,Eric Johnson,4.5,False,True,2017-09-13,Riccardo Sergio,1167
10235,patches.php?mode=show&unit=G3&ID=10235,Waves,Guthrie Govan,5.0,False,True,2017-09-13,Riccardo Sergio,1269
10229,patches.php?mode=show&unit=G3&ID=10229,Epitom3EHX,Denis Plaine,3.0,False,False,2017-09-12,DPlaine,605
10224,patches.php?mode=show&unit=G3&ID=10224,SitarCN1,Ravi Shankar,2.0,True,False,2017-09-10,Carlo60,788
10219,patches.php?mode=show&unit=G3&ID=10219,Violin2,Carlo60,1.0,False,False,2017-09-07,Carlo60,781
10220,patches.php?mode=show&unit=G3&ID=10220,DOBROCN,Carlo60,4.0,False,False,2017-09-07,Carlo60,529
10214,patches.php?mode=show&unit=G3&ID=10214,Angus,Angus McKinnon Young,5.0,True,False,2017-09-06,boxvictor,1032
10215,patches.php?mode=show&unit=G3&ID=10215,Violin1,Carlo60,,False,False,2017-09-06,Carlo60,739
10210,patches.php?mode=show&unit=G3&ID=10210,ApacheCN2,Shadows,2.0,True,True,2017-09-05,Carlo60,1006
10211,patches.php?mode=show&unit=G3&ID=10211,ORGLesl/(Walk of life),Dire Strait,4.5,True,True,2017-09-05,Carlo60,654
10207,patches.php?mode=show&unit=G3&ID=10207,boston,tom scholz,5.0,True,False,2017-08-28,alenio,791
10200,patches.php?mode=show&unit=G3&ID=10200,Zoom G3x guitar looping Vox vt20+ (acoustic simula,LuigiCantelmo,,False,True,2017-08-24,Zoom G3x guitar...,945
10201,patches.php?mode=show&unit=G3&ID=10201,Zoom G3x guitar looping Vox vt20+acoustic simulato,luigicantelmo,,False,True,2017-08-24,LuigiCantelmo,767
10197,patches.php?mode=show&unit=G3&ID=10197,Zoom G3x - Funk Clear + Comp + Early Reflection,Luiss,1.0,False,True,2017-08-21,Luiss,820
10190,patches.php?mode=show&unit=G3&ID=10190,Stereo Auto Whawha Funk Patch,Luigi,3.5,False,True,2017-08-11,Luiss,974
10148,patches.php?mode=show&unit=G3&ID=10148,Square Bass,Christina Hiro,3.0,False,False,2017-07-19,Christina Hiro,741
10146,patches.php?mode=show&unit=G3&ID=10146,Stupendo live Modena Park arpeggios guitar intro,Vince Pastano,5.0,True,False,2017-07-14,An Stevens,1074
10137,patches.php?mode=show&unit=G3&ID=10137,Do I Wanna  Know,Arctic Monkeys,3.0,True,False,2017-07-06,Joan,953
9923,patches.php?mode=show&unit=G3&ID=9923,Like A Stone - Verse,Audioslave,4.0,False,False,2017-05-19,fingerdish,1026
9924,patches.php?mode=show&unit=G3&ID=9924,Like A Stone - Chorus,Audioslave,2.5,False,False,2017-05-19,fingerdish,973
9925,patches.php?mode=show&unit=G3&ID=9925,Like A Stone - Bridge/Solo,Audioslave,4.5,False,False,2017-05-19,fingerdish,1019
9920,patches.php?mode=show&unit=G3&ID=9920,Th Dark Side Of The Moon,Pink Floyd,4.5,False,False,2017-05-16,Chastel98,1598
9913,patches.php?mode=show&unit=G3&ID=9913,Sweet child o' mine,Slash,4.7,False,True,2017-05-09,An Stevens,2930
9907,patches.php?mode=show&unit=G3&ID=9907,Top Gun,Steve Stevens,5.0,False,True,2017-05-07,An Stevens,1399
9897,patches.php?mode=show&unit=G3&ID=9897,Another brick in the wall,Pink Floyd,4.3,False,True,2017-05-06,An Stevens,2065
9899,patches.php?mode=show&unit=G3&ID=9899,The show is go on!!!!,Brian May,4.0,False,True,2017-05-06,An Stevens,1391
9900,patches.php?mode=show&unit=G3&ID=9900,Surf tone Misirlou,An Stevens,3.0,False,True,2017-05-06,An Stevens,767
9901,patches.php?mode=show&unit=G3&ID=9901,Satriani Summer Song Style,An Stevens,5.0,False,True,2017-05-06,An Stevens,1101
9902,patches.php?mode=show&unit=G3&ID=9902,Stef Burns Style/Jeff Beck,An Stevens,4.0,False,True,2017-05-06,An Stevens,1064
9884,patches.php?mode=show&unit=G3&ID=9884,Metal Rhythm,just my own patch,,True,False,2017-05-02,iamnottellingyo...,1300
9876,patches.php?mode=show&unit=G3&ID=9876,Zoom Original Presets (G2 and G5 converted for G3X,Zoom and Zoom Official Artists,4.2,False,False,2017-04-28,Zoom,1998
9864,patches.php?mode=show&unit=G3&ID=9864,Original Clean Fenrder,Me,2.0,False,True,2017-04-26,Tomiz,1378
9865,patches.php?mode=show&unit=G3&ID=9865,Steve Vai Clean Carvin legacy,Me,,False,True,2017-04-26,Tomiz,951
9866,patches.php?mode=show&unit=G3&ID=9866,Acoustica  near original,Me,4.0,False,True,2017-04-26,Tomiz,1156
9867,patches.php?mode=show&unit=G3&ID=9867,Steve Vai legacy carvin,Me,3.0,False,True,2017-04-26,Tomiz,879
9868,patches.php?mode=show&unit=G3&ID=9868,Dist./Soling voice for songs 1,Me,3.0,False,True,2017-04-26,Tomiz,691
9869,patches.php?mode=show&unit=G3&ID=9869,Termolo Rock,Me,,False,True,2017-04-26,Tomiz,706
9870,patches.php?mode=show&unit=G3&ID=9870,Soling 2,Me,,False,True,2017-04-26,Tomiz,621
9871,patches.php?mode=show&unit=G3&ID=9871,Folk/Solo folk,Me,,False,True,2017-04-26,Tomiz,763
9844,patches.php?mode=show&unit=G3&ID=9844,the shadows the full monty,hank marvin and the shadows,,False,False,2017-04-14,spinner snake,1130
9843,patches.php?mode=show&unit=G3&ID=9843,the shadows,the shadows,2.0,False,False,2017-04-12,d d,911
9838,patches.php?mode=show&unit=G3&ID=9838,HEAVY METAL hard rock,PANTERA,3.8,False,True,2017-04-10,gabryga76,2231
9833,patches.php?mode=show&unit=G3&ID=9833,Tak matsumoto   1992,Tak matsumoto,4.0,False,False,2017-04-09,KBS brother,930
9831,patches.php?mode=show&unit=G3&ID=9831,Signos,Soda Stereo,,False,False,2017-04-08,Rod Castler,744
9825,patches.php?mode=show&unit=G3&ID=9825,The Black,Asking Alexandria,5.0,True,False,2017-03-30,psychoberry,1355
9822,patches.php?mode=show&unit=G3&ID=9822,SRV,Stevie Ray Vaughn,,False,True,2017-03-27,Youtube,1479
9817,patches.php?mode=show&unit=G3&ID=9817,LIVIN ' ON A PRAYER,BON JOVI  SAMBORA,4.6,False,True,2017-03-25,gabryga76,2090
9812,patches.php?mode=show&unit=G3&ID=9812,Big Sur Moon,Buckethead,,False,False,2017-03-24,Dark Brocoli,738
9816,patches.php?mode=show&unit=G3&ID=9816,LIVIN ' ON A PRAYER,BON JOVI  SAMBORA,4.5,True,False,2017-03-24,gabryga76,1337
9809,patches.php?mode=show&unit=G3&ID=9809,SHINE ON YOU CRAZY DIAMOND,PINK FLOYD DAVID GILMOUR,4.5,False,False,2017-03-22,gabryga76,1110
9810,patches.php?mode=show&unit=G3&ID=9810,SHINE ON YOU CRAZY DIAMOND,PINK FLOYD DAVID GILMOUR,4.8,False,True,2017-03-22,gabryga76,2109
9806,patches.php?mode=show&unit=G3&ID=9806,CONFORTABLY NUMB,DAVID GILMOUR PINK FLOYD,4.3,False,True,2017-03-20,gabryga76,3685
9790,patches.php?mode=show&unit=G3&ID=9790,TAK DRIVE,B'Z,3.0,False,False,2017-03-19,sumi,726
9791,patches.php?mode=show&unit=G3&ID=9791,DZ LEAD,NONE,,False,False,2017-03-19,sumi,590
9792,patches.php?mode=show&unit=G3&ID=9792,RANDY R,OZZY OSBOUNE,,False,False,2017-03-19,sumi,904
9779,patches.php?mode=show&unit=G3&ID=9779,KNOCKING ON HEAVEN'S DOOR,GUNS N ROSES SLASH,4.5,False,True,2017-03-17,gabryga76,3448
9771,patches.php?mode=show&unit=G3&ID=9771,ACOUSTIC,NONE,4.0,False,True,2017-03-13,gabryga76,1803
9772,patches.php?mode=show&unit=G3&ID=9772,ACOUSTIC SIMULATION RITHM,NONE,4.0,False,True,2017-03-13,gabryga76,1202
